,Company Name (legal entity),City,Address,Official company website,What the business does,Who its customers are
,TECHVIVE SOLUTIONS PRIVATE LIMITED,Mumbai,"Shop no- 01, Ridhi Siddhi Complex, Ridhi BLDG No-1, Nr. Ration SHO,,Vasai Road,Thane,Maharashtra,401208-India",,,
,SHIMSHON ADVISORY PRIVATE LIMITED,Mumbai,"601, Gayatri CHS LTD. Jayraj Nagar, Vazira Naka, Borivali West,Mumbai,Mumbai City,Maharashtra,400092-India",,SHIMSHON ADVISORY PRIVATE LIMITED is a company located in India that provides legal entity identifier services. It offers information related to legal entity identifiers and legal information about companies.,The evidence does not specify explicit customer information. Likely served industries include businesses and organizations that require legal entity identifiers.
,DSPS TECH PLATFORM PRIVATE LIMITED,Mumbai,"1201-1202, 12th Floor, Wing A, One BKC, G Block Plot No. 66, Bandra Kurla Complex, Bandr,a (East),Mumbai,Mumbai City,Maharashtra,400051-India",,"DSPS TECH PLATFORM PRIVATE LIMITED is a private company incorporated in 2021, classified as a company limited by shares. It is involved in legal activities, providing services typically rendered by legal professionals such as advocates and solicitors.","The company likely serves clients in the legal sector, including individuals and businesses seeking legal services."
,NIVEZA INDIA PRIVATE LIMITED,Pune,"Teerth Technospace Office Teerth2work No. B 104,First Floor Sr. No. 103,,Haveli,Pune,Maharashtra,411045-India",,,
,NILESH GAIKWAD GROUP PRIVATE LIMITED,Pune,"9 SADASHIV PETH 10/11 KELGA SALES SHASTRI,PUNE,Pune,Maharashtra,411030-India",https://captainnileshholidays.com,"Captain Nilesh Holidays, a division of NILESH GAIKWAD GROUP PRIVATE LIMITED, is a travel agency based in Pune that specializes in curating domestic and international travel experiences. They offer a variety of tour packages, including customized itineraries, and emphasize ethical and sustainable travel practices.","Their customers include families, groups of friends, and individuals seeking travel experiences, likely targeting both domestic and international travelers."
,MEGASTEPS INFRAPOWER & MULTITRADING PRIVATE LIMITED,Pune,"OFFICE NO. 1, SN. 57/3, MAYURA VIHAR BLG-Q KOTHRUD,PUNE,Pune,Maharashtra,411029-India",,,
,AMFLOW EXIM PRIVATE LIMITED,Pune,"Icon Tower Plot No.B of 702, Sr No. 114/5/1 114/6/3115/1/1115/2, Baner Road, Oppos,ite KFC,Pune,Pune,Maharashtra,411045-India",,,
,PROPHANDY TECHNOLOGIES PRIVATE LIMITED,Pune,"Fiesta flat no B 802 Sr no. 35/2/1/2 Nr Roharsh Motors Baner,PUNE,Pune,Maharashtra,411045-India",,"Prophandy Technologies Private Limited is a service provider based in Pune, India, specializing in solar panel installation and maintenance, civil work services, water tank cleaning, roof waterproofing, and various repair and maintenance services.","The company serves residential, commercial, and industrial establishments, having gained the trust of over 100 large customers, including various societies and residential complexes."
,NARICHANIA CONSULTANCY AND AGENCY PVT LTD,Mumbai,"59 LAXMI INSURANCE BLDGSIR P M ROAD FORT,MUMBAI,Maharashtra,400001-India",,,
,OM ELECTROTECH SOLUTIONS PRIVATE LIMITED,Pune,"PLOT NO 32 SHRI TULJAI MSEBHOUSING SOC NEAR H T LINE VISHRAMBAG,SANGLI,Maharashtra,416415-India",,"OM ELECTROTECH SOLUTIONS PRIVATE LIMITED is a Private Limited Company registered under the Companies Act, primarily involved in providing compliance consultation services related to startup registrations, trademarks, GST, and income tax.",The company likely serves startups and businesses requiring assistance with regulatory compliance and company registrations.
,RAHUL PHOTOGRAPHIC COMPANY PRIVATE LIMITED,Mumbai,"206, 2ND FLOOR, INSPIRE HUB, ADANI WESTERN HEIGHT FOUR BGLWS, ANDHERI WEST,MUMBAI,Mumbai City,Maharashtra,400058-India",,,
,VIDHYA ACCOUNTS CONSULTANTS PRIVATE LIMITED,Mumbai,"B-22 ROHINI SEC-VSRISHTI RESIDENTIAL COMPLEX MIRA ROAD E,DIST-THANE,Maharashtra,401107-India",,"Vidhya Accounts Consultants Private Limited is a business services company that has been active since 2005. It is involved in providing various business consultancy services, likely including compliance and regulatory support.","The evidence does not specify explicit customer information. Likely served industries include small and medium enterprises (SMEs) and startups in India, as these are typical clients for business consultancy services."
,RB DIVERSIFIED PRIVATE LIMITED,Mumbai,"301/401, Aquamarine , Plot number 273 -B Carter Road Bandra West,Mumbai,Bandra Suburban,Maharashtra,400050-India",,,
,VIVA FACILITY SERVICES PRIVATE LIMITED,Mumbai,"SHOP NO 80, KAWALI COMPOUND, N.M. JOSHI MARG OPP RAILWAY WORKSHOP, LOWER PAREL,,MUMBAI,Maharashtra,400013-India",,Viva Facility Services Private Limited is a private unlisted company primarily engaged in business services. It has been operational since 2010 and is classified as a company limited by shares.,
,MANGALAM AUTOBUILD PRIVATE LIMITED,Mumbai,"28 & 30, TORNA, OPPOSITE LIFE STYLE CLUB JYOTI NAGAR,AURANGABAD,Maharashtra,431005-India",,,
,TOPSPIRE ANALYTICAL SERVICES PRIVATE LIMITED,Mumbai,"101, BLDG. NO.3, SIDDHI CO OP HSG SOC. LTD. KAVESAR, OPP VIJAY GARDEN, G.B. ROAD THA,NE (W),THANE,Maharashtra,400615-India",,Topspire Analytical Services Private Limited is involved in the accounting and bookkeeping industry.,Likely served industries include businesses and organizations requiring accounting and bookkeeping services.
,KKJ FINANCIAL SERVICES PRIVATE LIMITED,Mumbai,"52 Jalan House,5th Floor, Walkeshwar Road,Mumbai,Maharashtra,400006-India",https://kkjsec.com/,"KKJ Securities offers trusted financial services and investment solutions designed to help clients achieve their financial goals. The company provides comprehensive investor services, broking, and arbitrage solutions, and has diversified into renewable energy with a solar power plant in Gujarat.","KKJ Securities serves clients in the financial sector, including individual investors and institutions looking for brokerage and investment services."
,FINCOMM SOLUTIONS PRIVATE LIMITED,Mumbai,"517, THE SUMMIT BUSINESS PARK, M V ROAD,OFF GUNDAVLI VILLAGE, OPP PVR CINEMA, ANDHERI EAST, MUMBAI,Mumbai,Mumbai,Maharashtra,400093-India",,,
,MANAK BANGLES PRIVATE LIMITED,Mumbai,"GALA NO. 4, BLDG. NO. 4, PIRAMAL INDUSTRIAL ESTATE S. V. ROAD, GOREGAON (WEST),MUMBAI,Maharashtra,400062-India",,,
,LIBRA DECOR PRIVATE LIMITED,Mumbai,"2F ,Floor-2,Plot -15A,35,Court Chambers,Vitthaldas Thackersey Marg,New Marine Lines,Churchg,ate,,Mumbai,Mumbai City,Maharashtra,400020-India",,,
,FOXYMORON MEDIA SOLUTIONS PRIVATE LIMITED,Mumbai,"Building G & D-1, Paragon Condominium,Pandurang Budhkar Marg, Worli,,Mumbai,Mumbai,Maharashtra,400013-India",,"FOXYMORON MEDIA SOLUTIONS PRIVATE LIMITED is a private company incorporated in 2011, classified as a company limited by shares. It is involved in providing business services.",
,IDEAL MOCKUPS PRIVATE LIMITED,Mumbai,"F-9/24 MIDC HINGNA INDUSTRIAL AREA,Nagpur,Nagpur,Maharashtra,440016-India",https://idealmockups.com/,"Ideal Mockups provides prototype and high-quality mockup services, transforming concepts into tangible realities through custom mockups that accurately represent ideas and concepts.","The company serves leading design firms across diverse industries, including industrial, automobiles, home appliances, and medical."
,H.JASVANTRAI ENGINEERING PRIVATE LIMITED,Mumbai,"301, SAPHHIRE PLAZA, PLOT NO.20, DADABHAI ROAD, OPP. GOKALIBHAI SCHOOL, VILE PARLE-WEST,MUMBAI,Mumbai City,Maharashtra,400056-India",https://hjengineering.codehubtechnologies.com/,"H Jasvantrai Engineering Pvt. Ltd. specializes in engineering and construction services including Public Health Engineering Works, Fire Fighting Systems, Fire Alarm Systems, and Public Address Systems. They provide trusted solutions with a focus on safety, precision, and performance.","The company serves diverse sectors, including clients such as K Raheja Corp, ITC Maratha, Ayushman Hospital, and various educational institutions."
,BIG BUSINESS ADVISORS PRIVATE LIMITED,Mumbai,"B 305, SAGAR NAGAR, AMBA MATA ROAD AT AND POST PALGHAR,PALGHAR,Maharashtra,401404-India",,"BIG BUSINESS ADVISORS PRIVATE LIMITED is a Private Limited Company that provides business advisory services, including company registration and compliance consultation.",The company likely serves startups and businesses seeking registration and compliance support in India.
,KIRAN DRUG HOUSE PRIVATE LIMITED,Mumbai,"SHOP NO. 9, KRISHNARAJ HOUSING SOCIETY GOLEY COLONY,NASHIK,Maharashtra,422002-India",,,
,OAK SUPPORT SERVICES PRIVATE LIMITED,Mumbai,"318, VAISHALI APARTMENTS, 12/14 PAREKH STREET, BEHIND GIRGAON COURT, PRARTHANA SAMAJ,MUMBAI,Mumbai City,Maharashtra,400004-India",,,
,HUNGAMA DIGITAL SERVICES PRIVATE LIMITED,Mumbai,"6th Floor, Wing A, The ORB Sahar, Village Marol, Andheri (East),Mumbai,Mumbai City,Maharashtra,400099-India",,,
,RUSTY TRIANGLE FILMS PRIVATE LIMITED,Mumbai,"1301, PALM SPRING COMPLEX, 2/D WING CHS LTD, LINK ROAD, NEAR D-MART, BEHIND CROMA.,MUMBAI,Mumbai City,Maharashtra,400064-India",,,
,NATIONAL SECURITIES DEPOSITORY LIMITED,Mumbai,"301, 3rd Floor, Naman Chambers, G Block, Plot No- C-32, Bandra Kurla Complex, Bandra East,Mumbai,Mumbai,Maharashtra,400051-India",https://nsdl.co.in/,"National Securities Depository Limited (NSDL) is India's leading securities depository that provides dematerialization services, enabling investors to hold and transfer securities electronically through demat accounts. It offers services such as mutual fund dematerialization, corporate actions, and support for depository participants, issuers, and investors.","Its customers include depository participants and custodians, issuers, stock brokers, foreign portfolio investors, and retail investors who use its demat and related services."
,OM SHRI SAI CRANES (INDIA) PRIVATE LIMITED,Mumbai,"A-2001, BIMA COMPLEX, KALAMBOLI STREET MARKET, KALAMBOLI,NAVI MUMBAI,Maharashtra,410218-India",https://www.omsaicrane.com/,"Om Shri Sai Cranes India Pvt. Ltd. is a service provider specializing in crane rental services, including telescopic cranes, truck-mounted cranes, and erection services, based in Navi Mumbai, Maharashtra, India.","The company serves clients across various industries in India, providing crane rental and erection services for projects that require heavy lifting and equipment installation."
,AMIT CHOCO INDUSTRIES PRIVATE LIMITED,Mumbai,"125, SHREE GANESH SNEHAL APTS FLAY NO. 203, SHRADDANAD PETH SOUTH AMBA,ZARI ROAD,NAGPUR,Maharashtra,440022-India",,,
,ROCKSTARZ FILMS PRIVATE LIMITED,Mumbai,"61, 2ND FLOOR, JUHU SUPREME SHOPPING CENTRE, GULMOHAR X ROAD NO. 9, J.V.P.D., JUHU,,MUMBAI,Mumbai City,Maharashtra,400049-India",,"ROCKSTARZ FILMS PRIVATE LIMITED is a Private Limited Company incorporated in India that operates in the accounting, bookkeeping, auditing activities, and tax consultancy sectors. It provides services related to financial insights and legal documentation.",
,SMITIN MARKETING PRIVATE LIMITED,Mumbai,"4 Adityaman C.H.S., Mahavir road, Kanti Nagar, Andheri East,,Mumbai,Maharashtra,400059-India",,"Smitin Marketing Private Limited provides detailed company information, including directors, financials, and company history. It operates as a private limited company in India.",
,GALAXY INFONET PRIVATE LIMITED,Mumbai,"Room No.3, Ahire Chawl Ambedkar Nagar, P.L.Lokhande Marg, Chemb,ur,Mumbai,Mumbai City,Maharashtra,400089-India",,,
,RUSHI HOSPITALITY SERVICES PRIVATE LIMITED,Mumbai,"103,1ST FLOOR, RONIT ARCADE,OPP.TELEPHONE EXCHANGE POISAR, S.V.ROAD, KANDIVALI (W),,MUMBAI,Maharashtra,400057-India",,"RUSHI HOSPITALITY SERVICES PRIVATE LIMITED is a private company incorporated in 2012, classified as a company limited by shares. It is involved in activities related to CA/tax/GST services as indicated by its MCA profile.",
,OXIONA ENERGY SOLUTIONS (INDIA) PRIVATE LIMITED,Mumbai,"Building No.- 09, Flat No.- 15, SACHIN CHS, MITHAGAR ROAD MULUND (EAST),MUMBAI,Maharashtra,400081-India",,"OXIONA ENERGY SOLUTIONS (INDIA) PRIVATE LIMITED is a private company that is involved in providing services related to company registration, compliance, and financial filings in India.",The company likely serves businesses and individuals seeking assistance with company registration and compliance in India.
,SAI NET SERVICES PRIVATE LIMITED,Mumbai,"27-28, UPPER FLOOR, BARNAD MARKET, LINK ROAD OPP ASHA KRISHNA BLDG, SAKINAKA,MUMBAI,Maharashtra,400072-India",http://user.sainetservices.co.in/,"Sai Net Broadband is an ISP operating in Mumbai, offering affordable broadband access to home users and corporates.","The company serves home users and corporate clients, with thousands of customers trusting it for business‑critical needs."
,BLOND DESIGN PRIVATE LIMITED,Mumbai,"Kitab Mahal, 3rd Floor, Plot No-192 Dadabhai Naoroji Road, Azad Maidan, Fort,Mumbai,Mumbai City,Maharashtra,400001-India",,"BLOND DESIGN PRIVATE LIMITED provides accounting, bookkeeping, auditing, and tax consultancy services.","Likely serves small and medium enterprises, startups, and individual professionals requiring accounting and tax services."
