,Company Name (legal entity),City,Address,Official company website,What the business does,Who its customers are
,RB DIVERSIFIED PRIVATE LIMITED,Mumbai,"301/401, Aquamarine , Plot number 273 -B Carter Road Bandra West,Mumbai,Bandra Suburban,Maharashtra,400050-India",,"RB Diversified Private Limited is a financial services company based in Mumbai, Maharashtra, India, operating in the brokerage and trading services sector.","Likely serves individual investors, corporate clients, and financial institutions seeking brokerage and trading services."
,VIVA FACILITY SERVICES PRIVATE LIMITED,Mumbai,"SHOP NO 80, KAWALI COMPOUND, N.M. JOSHI MARG OPP RAILWAY WORKSHOP, LOWER PAREL,,MUMBAI,Maharashtra,400013-India",,Viva Facility Services Private Limited is a private unlisted company operating in the business services sector.,Likely serves corporate clients across various industries.
,MANGALAM AUTOBUILD PRIVATE LIMITED,Mumbai,"28 & 30, TORNA, OPPOSITE LIFE STYLE CLUB JYOTI NAGAR,AURANGABAD,Maharashtra,431005-India",,,
,TOPSPIRE ANALYTICAL SERVICES PRIVATE LIMITED,Mumbai,"101, BLDG. NO.3, SIDDHI CO OP HSG SOC. LTD. KAVESAR, OPP VIJAY GARDEN, G.B. ROAD THA,NE (W),THANE,Maharashtra,400615-India",,"Topspire Analytical Services Private Limited is an accounting and bookkeeping firm based in Mumbai, India.","Likely serves small and medium enterprises, startups, and individual professionals requiring accounting and bookkeeping services."
,KKJ FINANCIAL SERVICES PRIVATE LIMITED,Mumbai,"52 Jalan House,5th Floor, Walkeshwar Road,Mumbai,Maharashtra,400006-India",https://kkjsec.com/,"KKJ Securities is a leading broking house that offers brokerage, trading, arbitrage, and investment solutions across the NSE, BSE, and other markets, providing comprehensive services to help clients achieve their financial goals.","Clients and investors, including retail and institutional investors who trade on the NSE and BSE."
,FINCOMM SOLUTIONS PRIVATE LIMITED,Mumbai,"517, THE SUMMIT BUSINESS PARK, M V ROAD,OFF GUNDAVLI VILLAGE, OPP PVR CINEMA, ANDHERI EAST, MUMBAI,Mumbai,Mumbai,Maharashtra,400093-India",,FINCOMM SOLUTIONS PRIVATE LIMITED is a private limited company registered in Mumbai that provides services.,Likely serves businesses and organizations in Mumbai and surrounding regions requiring service solutions.
,MANAK BANGLES PRIVATE LIMITED,Mumbai,"GALA NO. 4, BLDG. NO. 4, PIRAMAL INDUSTRIAL ESTATE S. V. ROAD, GOREGAON (WEST),MUMBAI,Maharashtra,400062-India",,,"Likely serves jewelry retailers, wholesalers, and consumers in the fashion accessories market."
,LIBRA DECOR PRIVATE LIMITED,Mumbai,"2F ,Floor-2,Plot -15A,35,Court Chambers,Vitthaldas Thackersey Marg,New Marine Lines,Churchg,ate,,Mumbai,Mumbai City,Maharashtra,400020-India",,Libra Decor Private Limited is a private company registered in Maharashtra that provides business services.,"Likely serves other businesses needing business services, such as consulting or administrative support."
,FOXYMORON MEDIA SOLUTIONS PRIVATE LIMITED,Mumbai,"Building G & D-1, Paragon Condominium,Pandurang Budhkar Marg, Worli,,Mumbai,Mumbai,Maharashtra,400013-India",,,
,IDEAL MOCKUPS PRIVATE LIMITED,Mumbai,"F-9/24 MIDC HINGNA INDUSTRIAL AREA,Nagpur,Nagpur,Maharashtra,440016-India",https://idealmockups.com/,"Ideal Mockups provides prototype and high‑quality mockup services, converting digital models into physical mockups for consumer products across various industries.","Leading design firms in industries such as industrial automobiles, home appliances, and medical."
,H.JASVANTRAI ENGINEERING PRIVATE LIMITED,Mumbai,"301, SAPHHIRE PLAZA, PLOT NO.20, DADABHAI ROAD, OPP. GOKALIBHAI SCHOOL, VILE PARLE-WEST,MUMBAI,Mumbai City,Maharashtra,400056-India",https://hjengineering.codehubtechnologies.com/,"H Jasvantrai Engineering Pvt. Ltd. is an engineering and construction contractor that delivers public health engineering, fire protection, fire alarm, public address, sewage treatment, hot water solar, swimming pool filtration, compressed air & steam piping, operations & maintenance, and allied civil works.","Clients include hospitals, schools, hotels, and real estate developers across India."
,BIG BUSINESS ADVISORS PRIVATE LIMITED,Mumbai,"B 305, SAGAR NAGAR, AMBA MATA ROAD AT AND POST PALGHAR,PALGHAR,Maharashtra,401404-India",,,
,KIRAN DRUG HOUSE PRIVATE LIMITED,Mumbai,"SHOP NO. 9, KRISHNARAJ HOUSING SOCIETY GOLEY COLONY,NASHIK,Maharashtra,422002-India",,,"Likely serves pharmacies, hospitals, and other healthcare providers that purchase pharmaceutical products."
,OAK SUPPORT SERVICES PRIVATE LIMITED,Mumbai,"318, VAISHALI APARTMENTS, 12/14 PAREKH STREET, BEHIND GIRGAON COURT, PRARTHANA SAMAJ,MUMBAI,Mumbai City,Maharashtra,400004-India",,"Oak Support Services Private Limited operates in the business services sector, offering support services to organizations.","Likely serves businesses and organizations that require business support services, such as administrative, consulting, or operational assistance."
,HUNGAMA DIGITAL SERVICES PRIVATE LIMITED,Mumbai,"6th Floor, Wing A, The ORB Sahar, Village Marol, Andheri (East),Mumbai,Mumbai City,Maharashtra,400099-India",,"A full‑service digital advertising and marketing agency that offers end‑to‑end solutions in creative communication, social media management, and experiential marketing to help brands enhance their online presence and consumer engagement.",Brands that want to strengthen their digital presence and consumer engagement.
,RUSTY TRIANGLE FILMS PRIVATE LIMITED,Mumbai,"1301, PALM SPRING COMPLEX, 2/D WING CHS LTD, LINK ROAD, NEAR D-MART, BEHIND CROMA.,MUMBAI,Mumbai City,Maharashtra,400064-India",,,
,NATIONAL SECURITIES DEPOSITORY LIMITED,Mumbai,"301, 3rd Floor, Naman Chambers, G Block, Plot No- C-32, Bandra Kurla Complex, Bandra East,Mumbai,Mumbai,Maharashtra,400051-India",https://nsdl.co.in/,"National Securities Depository Limited (NSDL) is India's leading securities depository that provides dematerialization services, enabling investors to hold and trade securities electronically through demat accounts. It offers a range of services including mutual fund dematerialization, corporate action processing, and support for depository participants, issuers, and custodians.","Customers include individual investors, mutual fund companies, stock brokers, issuers, custodians, foreign portfolio investors, and other depository participants."
,OM SHRI SAI CRANES (INDIA) PRIVATE LIMITED,Mumbai,"A-2001, BIMA COMPLEX, KALAMBOLI STREET MARKET, KALAMBOLI,NAVI MUMBAI,Maharashtra,410218-India",https://www.omsaicrane.com/,"Om Shri Sai Cranes India Pvt. Ltd. is a service provider offering crane rental services—including telescopic, truck‑mounted, boom, railway underpass, and crawler cranes—as well as erection services for chimneys and heavy equipment.","Likely serves construction, infrastructure, industrial, and manufacturing sectors across India that require crane rental and erection services."
,AMIT CHOCO INDUSTRIES PRIVATE LIMITED,Mumbai,"125, SHREE GANESH SNEHAL APTS FLAY NO. 203, SHRADDANAD PETH SOUTH AMBA,ZARI ROAD,NAGPUR,Maharashtra,440022-India",,,
,ROCKSTARZ FILMS PRIVATE LIMITED,Mumbai,"61, 2ND FLOOR, JUHU SUPREME SHOPPING CENTRE, GULMOHAR X ROAD NO. 9, J.V.P.D., JUHU,,MUMBAI,Mumbai City,Maharashtra,400049-India",,"ROCKSTARZ FILMS PRIVATE LIMITED is a private limited company engaged in accounting, bookkeeping, auditing, and tax consultancy services, as well as related management consulting activities such as design of accounting systems, cost accounting programmes, and budgetary control procedures.","Likely serves small and medium enterprises, corporates, and individuals requiring accounting, bookkeeping, auditing, tax consultancy, and management consulting services."
,SMITIN MARKETING PRIVATE LIMITED,Mumbai,"4 Adityaman C.H.S., Mahavir road, Kanti Nagar, Andheri East,,Mumbai,Maharashtra,400059-India",,,
,GALAXY INFONET PRIVATE LIMITED,Mumbai,"Room No.3, Ahire Chawl Ambedkar Nagar, P.L.Lokhande Marg, Chemb,ur,Mumbai,Mumbai City,Maharashtra,400089-India",,,
,RUSHI HOSPITALITY SERVICES PRIVATE LIMITED,Mumbai,"103,1ST FLOOR, RONIT ARCADE,OPP.TELEPHONE EXCHANGE POISAR, S.V.ROAD, KANDIVALI (W),,MUMBAI,Maharashtra,400057-India",,,
,OXIONA ENERGY SOLUTIONS (INDIA) PRIVATE LIMITED,Mumbai,"Building No.- 09, Flat No.- 15, SACHIN CHS, MITHAGAR ROAD MULUND (EAST),MUMBAI,Maharashtra,400081-India",,,
,SAI NET SERVICES PRIVATE LIMITED,Mumbai,"27-28, UPPER FLOOR, BARNAD MARKET, LINK ROAD OPP ASHA KRISHNA BLDG, SAKINAKA,MUMBAI,Maharashtra,400072-India",http://user.sainetservices.co.in/,,
,BLOND DESIGN PRIVATE LIMITED,Mumbai,"Kitab Mahal, 3rd Floor, Plot No-192 Dadabhai Naoroji Road, Azad Maidan, Fort,Mumbai,Mumbai City,Maharashtra,400001-India",,,
